iter	RMSE
0	201912.3731
1	194145.0261
2	186513.5626
3	179700.3919
4	173475.584
5	167819.4915
6	162631.5153
7	157639.2545
8	153196.8107
9	149123.6205
10	145633.01
11	142158.8375
12	139053.3755
13	136413.5065
14	133760.5544
15	131365.1845
16	129304.893
17	127230.0009
18	125520.0251
19	123923.1627
20	122454.9465
21	121033.5655
22	119887.0902
23	118775.6706
24	117668.1978
25	116727.4839
26	115783.9114
27	114992.8009
28	114282.2529
29	113637.1906
30	113083.9046
31	112547.8769
32	111918.7895
33	111269.4672
34	110737.965
35	110203.2065
36	109880.6201
37	109501.9557
38	109227.0718
39	108800.2106
40	108473.2698
41	108135.2565
42	107899.025
43	107554.1897
44	107205.0237
45	106891.4706
46	106554.6921
47	106368.9932
48	105971.2649
49	105806.0053
50	105643.9539
51	105491.0782
52	105330.2616
53	105210.4489
54	105057.6997
55	104836.4007
56	104559.109
57	104435.4019
58	104265.7569
59	104058.4117
60	103958.534
61	103838.2672
62	103637.0525
63	103406.7695
64	103325.122
65	103178.9026
66	103034.1155
67	102944.0586
68	102711.1595
69	102548.2186
70	102255.7814
71	101973.4724
72	101800.7768
73	101706.8526
74	101507.9009
75	101410.3896
76	101321.3845
77	101119.8282
78	101043.3862
79	100886.6656
80	100813.951
81	100759.5156
82	100650.4501
83	100533.8584
84	100387.0235
85	100112.3529
86	100022.1252
87	99898.50295
88	99783.85269
89	99709.87677
90	99628.67906
91	99558.0873
92	99418.62051
93	99266.55809
94	99138.10486
95	99004.59063
96	98858.3852
97	98761.22313
98	98671.1204
99	98603.41038
100	98534.4781
101	98229.68965
102	98059.38421
103	98010.24861
104	97718.58326
105	97662.25467
106	97605.0582
107	97523.82657
108	97437.60721
109	97384.62421
110	97320.36656
111	97201.0807
112	96937.08203
113	96740.54842
114	96681.15288
115	96546.75507
116	96508.11508
117	96436.03249
118	96324.21727
119	96279.65418
120	96177.82293
121	96024.53415
122	95784.1945
123	95721.42963
124	95473.41899
125	95389.63172
126	95318.33884
127	95241.93382
128	95135.67901
129	94973.40166
130	94891.64617
131	94808.78307
132	94688.11058
133	94554.27829
134	94406.35466
135	94329.48625
136	94172.30194
137	94053.66853
138	94000.62723
139	93850.99722
140	93777.77374
141	93674.18248
142	93609.99859
143	93546.92502
144	93484.01878
145	93223.28609
146	93160.50126
147	93073.15921
148	92928.1702
149	92810.66554
150	92527.96037
151	92471.17342
152	92405.97332
153	92304.91153
154	92084.52864
155	91982.82872
156	91955.72319
157	91931.58639
158	91774.1249
159	91713.12469
160	91518.8954
161	91240.71409
162	91182.10429
163	91133.92793
164	91056.02746
165	91031.68823
166	90996.15139
167	90817.36515
168	90770.36714
169	90716.95769
170	90696.66457
171	90548.12355
172	90426.27312
173	90318.95358
174	90069.64843
175	89818.62048
176	89791.56743
177	89696.55482
178	89668.04211
179	89565.10665
180	89541.24612
181	89523.29952
182	89502.5198
183	89483.12514
184	89435.64105
185	89361.66196
186	89345.94494
187	89244.90457
188	89178.09726
189	88901.65787
190	88820.48178
191	88736.17751
192	88717.81114
193	88586.52905
194	88568.09232
195	88362.17489
196	88320.84591
197	88251.80336
198	88157.16847
199	87906.19542
200	87862.73746
201	87684.82984
202	87668.14042
203	87572.44843
204	87533.93494
205	87366.07647
206	87280.5211
207	87076.07192
208	86984.84875
209	86971.77749
210	86957.0044
211	86919.21442
212	86804.40496
213	86733.97709
214	86720.46793
215	86637.09087
216	86581.04416
217	86381.09399
218	86318.7597
219	86267.90201
220	86103.49329
221	86092.26903
222	86058.58363
223	86048.28271
224	85909.50182
225	85771.95656
226	85684.54266
227	85613.19609
228	85600.89147
229	85527.36488
230	85400.06317
231	85367.72403
232	85296.37057
233	85167.75841
234	85137.73225
235	85051.60355
236	84993.42192
237	84895.0882
238	84780.18562
239	84684.06044
240	84626.324
241	84566.78931
242	84556.43848
243	84483.314
244	84473.55928
245	84417.84398
246	84339.96673
247	84288.85835
248	84260.22106
249	84194.68759
250	84174.33856
251	84064.24062
252	84010.25953
253	83999.5306
254	83941.24304
255	83882.01626
256	83734.39852
257	83713.81635
258	83668.54862
259	83628.20062
260	83525.15338
261	83441.01233
262	83393.41267
263	83228.76399
264	83188.65598
265	83143.39454
266	83093.82065
267	83074.95599
268	83057.75737
269	82969.84319
270	82931.84986
271	82858.74851
272	82851.62016
273	82751.08678
274	82708.64715
275	82660.17874
276	82580.43089
277	82502.94278
278	82455.71602
279	82359.86605
280	82305.20755
281	82267.1193
282	82255.04062
283	82246.4968
284	82172.08169
285	82108.52947
286	82049.27084
287	81978.47991
288	81884.02809
289	81847.53489
290	81751.78916
291	81743.4624
292	81674.06525
293	81646.65369
294	81563.45848
295	81555.53585
296	81512.44225
297	81428.66688
298	81359.75124
299	81332.30214
300	81289.35238
301	81239.55472
302	81201.78421
303	81161.57402
304	81119.38763
305	81076.67925
306	81063.9245
307	81012.03682
308	80960.74249
309	80900.14388
310	80886.6014
311	80841.49943
312	80803.39634
313	80756.94959
314	80634.741
315	80565.78987
316	80466.61851
317	80425.96737
318	80357.31463
319	80295.70527
320	80219.20409
321	80162.40298
322	80151.5138
323	80112.85421
324	80021.31065
325	79922.55548
326	79850.45855
327	79784.15846
328	79691.00208
329	79640.92106
330	79531.93036
331	79506.18695
332	79473.70503
333	79429.28877
334	79378.22397
335	79275.09846
336	79225.99965
337	79205.74679
338	79154.79089
339	79117.21836
340	79106.56562
341	79016.08613
342	78961.45973
343	78900.21005
344	78888.59576
345	78863.04034
346	78763.38153
347	78734.58804
348	78701.22615
349	78691.88929
350	78651.64235
351	78640.68772
352	78604.00939
353	78545.08924
354	78507.75327
355	78479.14881
356	78410.04795
357	78373.96978
358	78353.01865
359	78317.37
360	78263.3896
361	78221.25106
362	78192.77901
363	78162.77388
364	78144.06874
365	78097.86116
366	78020.13076
367	77992.75997
368	77958.79778
369	77927.17855
370	77919.72479
371	77888.41111
372	77779.81871
373	77743.49312
374	77707.60222
375	77662.04585
376	77655.81669
377	77600.29078
378	77574.43824
379	77545.93117
380	77524.49698
381	77478.40768
382	77448.32581
383	77418.30958
384	77384.45002
385	77352.11416
386	77324.30533
387	77301.69525
388	77279.51278
389	77209.87507
390	77147.98386
391	77119.96986
392	77092.94317
393	77021.02984
394	76968.62528
395	76862.99624
396	76833.40591
397	76813.0059
398	76714.40375
399	76687.82909
400	76629.28197
401	76596.86357
402	76518.05166
403	76481.46027
404	76439.37056
405	76376.8417
406	76350.9069
407	76315.30919
408	76286.87026
409	76266.30433
410	76247.93689
411	76228.61962
412	76187.75898
413	76138.20871
414	76104.81832
415	76037.71107
416	76013.70676
417	75974.01889
418	75953.57964
419	75903.11042
420	75832.60291
421	75810.6062
422	75759.99907
423	75741.61594
424	75696.17778
425	75663.42863
426	75632.47542
427	75611.19856
428	75577.10129
429	75553.83602
430	75518.84785
431	75489.60634
432	75447.11756
433	75422.53712
434	75381.53929
435	75295.09267
436	75255.28006
437	75235.16838
438	75213.45668
439	75183.36789
440	75162.06086
441	75140.40763
442	75078.69162
443	75027.20759
444	75002.00407
445	74983.53815
446	74965.13464
447	74935.71117
448	74916.28946
449	74894.39991
450	74856.996
451	74834.46019
452	74807.21553
453	74780.79698
454	74765.32292
455	74706.19193
456	74688.49406
457	74637.38434
458	74622.56447
459	74597.7933
460	74542.70726
461	74511.60073
462	74488.22526
463	74466.26168
464	74429.66821
465	74335.55654
466	74289.06731
467	74261.66486
468	74220.34683
469	74200.1343
470	74125.44834
471	74108.66934
472	74067.84249
473	74042.32014
474	74028.4056
475	73989.58891
476	73954.53977
477	73917.94322
478	73898.18423
479	73861.71882
480	73830.08082
481	73785.36584
482	73740.40486
483	73704.91525
484	73660.13781
485	73642.58483
486	73568.26379
487	73551.51732
488	73517.94995
489	73486.36779
490	73451.15678
491	73387.23027
492	73323.15906
493	73297.3261
494	73257.7201
495	73221.89791
496	73188.7638
497	73091.80656
498	73057.24749
499	73031.49931
500	73002.28132
501	72960.89799
502	72931.08342
503	72916.85626
504	72879.04242
505	72840.7901
506	72799.70224
507	72794.20791
508	72780.0679
509	72751.95678
510	72686.76984
511	72671.95436
512	72654.67369
513	72621.23758
514	72587.20934
515	72558.97218
516	72547.4497
517	72515.11435
518	72506.73378
519	72491.32243
520	72484.4617
521	72454.38666
522	72420.93454
523	72399.13154
524	72359.95674
525	72332.95482
526	72303.27853
527	72276.70299
528	72248.57304
529	72226.59816
530	72194.81605
531	72172.30133
532	72127.51414
533	72098.39613
534	72069.80135
535	72012.59723
536	71981.64422
537	71949.89021
538	71900.234
539	71884.04742
540	71853.10783
541	71840.01351
542	71818.24132
543	71808.18234
544	71745.87394
545	71727.8036
546	71699.18493
547	71669.64924
548	71616.09176
549	71599.88738
550	71586.71183
551	71556.06669
552	71511.88547
553	71500.48155
554	71487.62448
555	71464.61034
556	71445.12922
557	71428.91264
558	71403.31805
559	71372.48825
560	71358.75994
561	71329.07708
562	71299.74573
563	71263.33672
564	71189.24741
565	71170.23547
566	71135.73886
567	71094.62178
568	71083.96977
569	71062.81146
570	71039.25362
571	71024.09757
572	71000.0536
573	70986.76267
574	70970.46837
575	70945.24752
576	70917.69804
577	70885.75765
578	70875.03915
579	70859.83125
580	70851.47506
581	70829.4785
582	70800.10048
583	70779.07553
584	70755.83705
585	70735.04075
586	70701.58434
587	70689.69935
588	70660.64618
589	70629.05197
590	70609.21382
591	70582.07102
592	70559.78526
593	70523.45376
594	70494.61334
595	70471.78986
596	70447.52182
597	70428.23945
598	70400.61563
599	70378.60315
600	70360.02166
601	70327.25783
602	70307.78126
603	70287.25986
604	70251.04126
605	70235.57078
606	70220.1416
607	70203.04046
608	70187.74402
609	70167.93961
610	70159.57263
611	70134.2792
612	70107.9093
613	70083.40703
614	70054.23617
615	70032.8607
616	70014.25822
617	69991.75703
618	69981.49027
619	69969.64715
620	69960.3877
621	69947.71171
622	69921.70208
623	69900.76734
624	69885.82882
625	69868.58216
626	69854.06073
627	69835.80225
628	69786.00239
629	69765.80243
630	69748.26547
631	69724.25181
632	69703.26987
633	69690.11083
634	69662.48234
635	69646.78593
636	69634.10937
637	69615.5911
638	69604.39162
639	69586.03553
640	69556.92786
641	69537.56444
642	69520.46363
643	69507.70414
644	69498.59535
645	69484.36161
646	69464.42045
647	69448.94101
648	69427.21911
649	69344.04593
650	69338.16817
651	69321.80747
652	69301.56272
653	69286.3485
654	69272.86683
655	69254.12096
656	69235.41806
657	69155.33502
658	69053.13032
659	69031.55576
660	69011.47929
661	68992.50563
662	68972.17686
663	68948.30397
664	68922.67059
665	68911.44572
666	68902.66426
667	68884.64088
668	68868.19451
669	68845.01896
670	68809.1158
671	68786.70357
672	68721.93608
673	68649.22952
674	68640.38542
675	68627.02487
676	68608.74554
677	68591.97993
678	68582.34647
679	68567.3649
680	68555.78228
681	68539.49417
682	68448.48556
683	68429.70274
684	68405.87472
685	68356.80083
686	68343.99174
687	68320.53708
688	68297.94955
689	68285.89557
690	68251.55304
691	68221.48372
692	68200.49117
693	68191.2216
694	68169.30921
695	68157.17796
696	68139.44453
697	68122.44521
698	68086.00242
699	68044.65517
700	68031.78805
701	68014.57518
702	68005.09151
703	67974.10328
704	67935.12067
705	67869.72372
706	67849.90722
707	67839.73014
708	67829.56067
709	67799.96845
710	67788.47787
711	67769.43785
712	67757.00735
713	67746.18977
714	67729.46532
715	67699.98567
716	67690.45083
717	67679.92623
718	67648.90883
719	67636.14157
720	67621.33161
721	67604.71835
722	67574.50157
723	67557.35026
724	67548.99563
725	67531.09141
726	67515.6103
727	67501.13737
728	67480.05045
729	67470.57429
730	67448.51889
731	67436.80773
732	67413.23095
733	67392.33071
734	67376.67825
735	67370.49622
736	67350.16186
737	67341.28886
738	67321.69299
739	67306.14319
740	67293.90822
741	67282.25094
742	67266.79559
743	67254.13483
744	67234.05792
745	67226.42729
746	67195.54241
747	67171.14652
748	67122.3469
749	67109.14815
750	67101.7062
751	67075.07323
752	67061.23203
753	67050.16
754	67042.33625
755	67031.81727
756	67017.69256
757	67004.80743
758	66994.94142
759	66987.51888
760	66978.60089
761	66930.56813
762	66920.09201
763	66907.08688
764	66897.71537
765	66891.33425
766	66874.37468
767	66855.50983
768	66839.19004
769	66822.27257
770	66804.62421
771	66775.16462
772	66768.55933
773	66758.20774
774	66743.21465
775	66738.99514
776	66710.2691
777	66693.90152
778	66681.9184
779	66666.47692
780	66648.95998
781	66625.86898
782	66612.38005
783	66591.51563
784	66582.40945
785	66567.07247
786	66551.01634
787	66521.22525
788	66506.98614
789	66500.21094
790	66484.53118
791	66464.1065
792	66421.26797
793	66402.28659
794	66391.11928
795	66381.49585
796	66372.9411
797	66359.81886
798	66348.71333
799	66327.26319
800	66316.77017
801	66306.51517
802	66295.12257
803	66267.84305
804	66249.17064
805	66222.89927
806	66213.77529
807	66177.4874
808	66167.22876
809	66163.07084
810	66135.31446
811	66118.3041
812	66109.68325
813	66103.25901
814	66084.57542
815	66065.61461
816	66050.37595
817	66027.15887
818	66003.53042
819	65995.36182
820	65978.58995
821	65966.15964
822	65929.86453
823	65919.30027
824	65863.00094
825	65853.174
826	65826.84261
827	65813.4573
828	65785.77918
829	65757.99874
830	65746.96254
831	65738.14637
832	65727.90211
833	65714.82983
834	65703.85699
835	65649.48184
836	65636.65566
837	65623.80715
838	65605.80125
839	65601.79464
840	65569.526
841	65536.46937
842	65515.36352
843	65507.56302
844	65492.7574
845	65472.32571
846	65465.10758
847	65452.9306
848	65432.12392
849	65415.5229
850	65408.02497
851	65395.38348
852	65375.13578
853	65365.56859
854	65358.08458
855	65354.34552
856	65348.20605
857	65331.01711
858	65324.42857
859	65258.14209
860	65242.59755
861	65229.51141
862	65220.18767
863	65215.31492
864	65192.71276
865	65187.01746
866	65170.38355
867	65162.19473
868	65146.69073
869	65137.92396
870	65122.69474
871	65105.43326
872	65096.80086
873	65090.68115
874	65082.731
875	65074.06502
876	65065.09252
877	65046.84007
878	65031.32221
879	65017.25511
880	64984.86086
881	64970.77184
882	64948.55703
883	64934.57517
884	64920.48411
885	64899.53536
886	64882.23018
887	64879.34182
888	64870.82916
889	64853.00814
890	64836.65349
891	64828.37343
892	64820.71562
893	64817.48808
894	64784.71271
895	64772.36508
896	64746.29211
897	64725.83791
898	64712.84337
899	64687.88628
900	64681.66603
901	64673.60695
902	64666.01665
903	64652.29472
904	64644.74146
905	64631.17033
906	64625.97688
907	64618.85421
908	64604.0903
909	64582.70057
910	64575.43508
911	64532.23034
912	64528.03345
913	64514.81123
914	64466.26612
915	64459.20354
916	64449.16794
917	64420.34361
918	64366.53693
919	64359.51565
920	64350.48368
921	64342.57413
922	64333.31059
923	64319.61834
924	64308.95104
925	64253.81466
926	64236.61949
927	64191.62854
928	64179.71756
929	64141.24504
930	64128.36146
931	64113.56717
932	64107.5712
933	64097.70044
934	64090.77592
935	64071.55644
936	64055.10465
937	64019.50779
938	64009.0136
939	63996.43439
940	63987.33937
941	63975.1496
942	63963.65366
943	63950.22416
944	63937.69401
945	63928.39116
946	63879.11225
947	63861.55855
948	63848.61039
949	63825.81512
950	63784.08168
951	63762.24527
952	63756.40658
953	63740.87425
954	63721.15678
955	63714.65945
956	63706.0722
957	63668.19521
958	63641.07463
959	63629.35163
960	63615.94928
961	63588.86685
962	63571.71555
963	63560.63625
964	63547.29309
965	63522.16356
966	63516.5066
967	63500.10014
968	63491.81416
969	63480.81893
970	63469.67054
971	63454.00329
972	63441.8772
973	63430.58025
974	63419.44441
975	63402.81107
976	63394.66189
977	63385.47395
978	63369.46156
979	63351.89945
980	63316.30008
981	63311.23418
982	63286.31194
983	63279.75405
984	63272.97558
985	63233.00062
986	63188.13937
987	63171.35102
988	63156.1775
989	63150.8975
990	63142.16163
991	63128.01976
992	63108.52129
993	63102.92431
994	63088.71908
995	63082.9866
996	63054.75823
997	63039.14307
998	63031.94242
999	63016.34056
