iter	Passed	Remaining
0	4	4800
1	9	4534
2	13	4530
3	17	4387
4	21	4272
5	25	4222
6	29	4150
7	33	4098
8	36	4044
9	40	4028
10	44	4012
11	48	3993
12	52	3969
13	56	4006
14	60	4004
15	64	3995
16	68	3985
17	72	3974
18	76	3962
19	80	3948
20	84	3941
21	89	3960
22	92	3943
23	96	3933
24	100	3926
25	104	3931
26	108	3921
27	112	3912
28	116	3904
29	120	3909
30	124	3899
31	128	3882
32	132	3881
33	136	3881
34	140	3876
35	144	3868
36	148	3864
37	152	3862
38	156	3857
39	160	3849
40	164	3848
41	168	3850
42	172	3844
43	176	3838
44	180	3830
45	184	3826
46	188	3821
47	192	3825
48	196	3821
49	201	3819
50	205	3823
51	209	3822
52	214	3823
53	218	3822
54	222	3827
55	226	3820
56	230	3812
57	234	3810
58	238	3803
59	242	3795
60	245	3784
61	249	3778
62	253	3772
63	257	3765
64	261	3758
65	265	3756
66	269	3749
67	273	3743
68	276	3734
69	280	3732
70	284	3728
71	288	3722
72	292	3716
73	296	3711
74	300	3706
75	304	3699
76	307	3688
77	311	3683
78	315	3678
79	319	3671
80	323	3666
81	326	3660
82	331	3657
83	334	3652
84	338	3647
85	343	3645
86	347	3642
87	350	3637
88	354	3631
89	358	3626
90	363	3627
91	367	3623
92	370	3616
93	374	3610
94	378	3607
95	382	3604
96	386	3602
97	391	3599
98	395	3597
99	399	3594
100	403	3590
101	407	3589
102	411	3587
103	415	3581
104	419	3577
105	423	3574
106	428	3572
107	432	3568
108	435	3561
109	439	3558
110	443	3554
111	447	3549
112	451	3543
113	455	3536
114	459	3533
115	463	3530
116	467	3526
117	471	3521
118	475	3517
119	479	3513
120	483	3509
121	486	3502
122	491	3501
123	494	3496
124	498	3491
125	502	3485
126	506	3483
127	510	3479
128	514	3474
129	518	3470
130	522	3468
131	526	3464
132	530	3459
133	534	3454
134	538	3453
135	542	3449
136	546	3442
137	550	3437
138	554	3435
139	558	3432
140	562	3429
141	566	3425
142	571	3422
143	575	3418
144	578	3412
145	582	3406
146	586	3405
147	591	3402
148	594	3397
149	598	3393
150	602	3389
151	606	3383
152	610	3378
153	614	3373
154	618	3369
155	622	3365
156	625	3360
157	629	3355
158	633	3353
159	637	3348
160	641	3343
161	645	3339
162	649	3335
163	653	3332
164	657	3327
165	661	3323
166	665	3320
167	669	3316
168	673	3312
169	677	3308
170	681	3306
171	685	3301
172	689	3297
173	693	3292
174	697	3288
175	701	3284
176	705	3280
177	709	3276
178	713	3272
179	717	3268
180	721	3264
181	725	3259
182	729	3256
183	733	3255
184	737	3250
185	741	3245
186	745	3241
187	749	3237
188	753	3232
189	757	3227
190	760	3223
191	764	3218
192	768	3214
193	772	3210
194	776	3205
195	780	3201
196	784	3197
197	788	3193
198	792	3189
199	796	3186
200	800	3181
201	804	3177
202	808	3173
203	812	3169
204	816	3164
205	820	3161
206	823	3156
207	828	3153
208	832	3149
209	835	3144
210	839	3140
211	844	3137
212	848	3134
213	852	3129
214	855	3125
215	860	3121
216	864	3117
217	867	3112
218	871	3108
219	875	3104
220	879	3100
221	883	3096
222	887	3092
223	891	3088
224	895	3084
225	899	3082
226	904	3078
227	908	3077
228	912	3073
229	916	3069
230	921	3066
231	925	3064
232	930	3062
233	934	3059
234	938	3056
235	943	3053
236	947	3049
237	951	3046
238	956	3044
239	960	3041
240	964	3037
241	969	3035
242	973	3032
243	977	3029
244	981	3025
245	985	3020
246	989	3017
247	994	3014
248	998	3010
249	1002	3007
250	1006	3003
251	1010	2999
252	1014	2994
253	1018	2991
254	1022	2987
255	1026	2983
256	1030	2979
257	1034	2976
258	1039	2973
259	1043	2969
260	1047	2964
261	1051	2961
262	1055	2958
263	1059	2954
264	1063	2950
265	1068	2947
266	1072	2943
267	1076	2940
268	1080	2936
269	1084	2933
270	1088	2929
271	1093	2925
272	1097	2922
273	1101	2919
274	1105	2915
275	1109	2911
276	1113	2907
277	1117	2903
278	1121	2899
279	1126	2895
280	1130	2892
281	1134	2888
282	1139	2885
283	1143	2882
284	1147	2878
285	1151	2874
286	1155	2870
287	1159	2866
288	1163	2863
289	1167	2859
290	1172	2855
291	1175	2850
292	1180	2848
293	1184	2844
294	1188	2840
295	1192	2836
296	1197	2833
297	1201	2829
298	1205	2825
299	1209	2821
300	1213	2818
301	1217	2813
302	1221	2810
303	1225	2806
304	1229	2802
305	1234	2798
306	1237	2794
307	1242	2790
308	1245	2786
309	1249	2782
310	1253	2777
311	1257	2773
312	1261	2769
313	1265	2764
314	1269	2759
315	1272	2755
316	1276	2751
317	1280	2746
318	1284	2742
319	1288	2738
320	1293	2735
321	1296	2730
322	1300	2726
323	1304	2722
324	1309	2718
325	1312	2714
326	1316	2709
327	1320	2705
328	1324	2701
329	1328	2698
330	1332	2693
331	1336	2689
332	1340	2685
333	1344	2680
334	1348	2676
335	1352	2672
336	1356	2668
337	1360	2664
338	1364	2660
339	1368	2655
340	1372	2651
341	1375	2647
342	1379	2643
343	1383	2638
344	1387	2634
345	1391	2630
346	1395	2625
347	1399	2621
348	1403	2618
349	1407	2613
350	1411	2609
351	1414	2604
352	1419	2601
353	1422	2596
354	1426	2592
355	1430	2588
356	1434	2583
357	1438	2579
358	1442	2575
359	1446	2571
360	1450	2566
361	1454	2562
362	1457	2558
363	1461	2553
364	1465	2549
365	1469	2545
366	1473	2540
367	1476	2536
368	1480	2532
369	1485	2528
370	1489	2524
371	1493	2520
372	1496	2516
373	1501	2512
374	1505	2508
375	1509	2504
376	1512	2499
377	1516	2496
378	1520	2491
379	1524	2487
380	1528	2482
381	1533	2480
382	1537	2476
383	1541	2472
384	1545	2468
385	1549	2464
386	1552	2459
387	1556	2455
388	1560	2451
389	1564	2447
390	1568	2443
391	1572	2438
392	1576	2434
393	1580	2430
394	1584	2426
395	1587	2421
396	1591	2417
397	1595	2413
398	1599	2408
399	1602	2403
400	1606	2399
401	1610	2395
402	1614	2391
403	1617	2386
404	1621	2382
405	1625	2377
406	1628	2373
407	1632	2369
408	1636	2365
409	1640	2360
410	1644	2356
411	1648	2352
412	1651	2347
413	1655	2343
414	1659	2339
415	1663	2334
416	1666	2330
417	1670	2326
418	1674	2321
419	1678	2317
420	1682	2313
421	1685	2308
422	1689	2304
423	1693	2300
424	1696	2295
425	1700	2291
426	1704	2287
427	1708	2283
428	1712	2278
429	1715	2274
430	1719	2270
431	1723	2266
432	1727	2262
433	1731	2258
434	1735	2253
435	1738	2249
436	1743	2245
437	1747	2241
438	1750	2237
439	1754	2233
440	1758	2229
441	1762	2225
442	1766	2221
443	1770	2216
444	1774	2213
445	1778	2209
446	1782	2204
447	1785	2200
448	1789	2196
449	1793	2192
450	1797	2188
451	1801	2183
452	1805	2180
453	1809	2175
454	1812	2171
455	1816	2167
456	1820	2163
457	1824	2158
458	1828	2154
459	1831	2150
460	1835	2146
461	1840	2142
462	1844	2138
463	1847	2134
464	1851	2130
465	1855	2126
466	1859	2122
467	1863	2118
468	1867	2114
469	1871	2110
470	1874	2105
471	1878	2101
472	1882	2097
473	1886	2093
474	1890	2089
